,mean,std
1,50.0,5.0
2,85.6,7.2
3,85.0,10.0
4,50.0,5.0
5,80.0,10.0
6,85.0,10.5
7,50.0,5.0
8,75.3,10.2
9,70.0,10.0
10,85.0,10.0
11,85.5,4.8
12,85.0,10.0
13,85.2,3.5
14,85.0,10.0
15,85.0,7.5
16,85.0,10.0
17,85.3,4.6
18,50.5,10.2
19,50.5,4.2
20,85.0,10.5
21,85.5,4.2
22,50.0,5.0
23,85.0,10.5
24,85.0,10.0
25,85.7,4.2
26,85.0,5.0
27,85.0,10.0
28,50.0,10.0
29,85.0,10.0
30,50.0,10.0
31,84.0,3.5
32,85.0,7.5
33,85.7,12.3
34,85.5,4.2
35,85.5,9.3
36,85.0,12.5
37,50.0,10.0
38,85.0,4.5
39,85.0,10.0
40,85.0,10.2
41,75.0,10.0
42,85.5,10.2
43,50.0,10.0
44,85.0,10.0
45,5.5,1.2
46,85.0,10.0
47,75.0,10.5
48,80.0,10.0
49,85.0,10.0
50,85.0,10.5
51,85.0,10.5
52,85.0,10.0
53,50.0,5.0
54,85.0,10.0
55,50.0,5.0
56,50.0,5.0
57,85.2,5.3
58,85.2,4.5
59,85.0,10.0
60,50.0,5.0
61,85.0,10.0
62,50.0,10.0
63,5.5,1.2
64,85.0,4.5
65,85.0,10.0
66,50.0,5.0
67,85.5,4.2
68,85.0,10.0
69,75.0,10.0
70,56.7,4.2
71,85.0,10.0
72,50.0,5.0
73,85.0,10.0
74,50.0,10.0
75,90.0,15.0
76,85.0,10.0
77,85.0,10.0
78,85.0,10.0
79,80.0,10.0
80,50.5,10.2
81,80.0,10.0
82,85.0,10.0
83,80.0,10.0
84,50.0,10.0
85,85.0,10.0
86,80.0,10.0
87,7.5,2.0
88,85.0,10.0
89,50.0,5.0
90,8.5,1.2
91,75.0,10.0
92,85.0,10.0
93,85.0,10.0
94,85.0,10.0
95,70.0,10.0
96,75.0,10.0
97,85.0,5.5
98,85.0,10.0
99,50.0,5.0
100,50.0,10.0
