,mean,std
1,50,1.5
2,50,2
3,50,5
4,50,2
5,50,2
6,50.0,2.0
7,50,2
8,50,2
9,50,5
10,50,5
11,50,2
12,50.0,2.0
13,50,5
14,50,2
15,50,5
16,50,5
17,50.0,2.5
18,50,5
19,50,1.5
20,50,2
21,50,2
22,50.0,1.5
23,50,2
24,50,2
25,50.0,2.0
26,50,5
27,50,2
28,50,2
29,50,2
30,50.0,2.0
31,50,2
32,50,2
33,50,5
34,50,2
35,50.0,4.5
36,50,2
37,50,5
38,50,5
39,50.0,2.0
40,50,2
41,50.0,1.5
42,50,2
43,50,2
44,50,1.5
45,50.0,2.0
46,50,2
47,50,2
48,50,2
49,50,2
50,50,2
51,50.0,2.5
52,50.0,5.0
53,50.0,2.5
54,50,2
55,50,2
56,50,1.5
57,50,5
58,50,2
59,50,2
60,50.0,2.5
61,50,5
62,50,2
63,50.0,2.5
64,50,2
65,50,5
66,50,5
67,50,5
68,50,1.5
69,50,5
70,50.0,2.5
71,50.0,2.5
72,50,2
73,50,2
74,50,5
75,50,1.5
76,50.0,2.5
77,50,2
78,50,2
79,50,5
80,50,2
81,50,2
82,50.0,1.5
83,50,2
84,50,2
85,50,2
86,50,2
87,50.0,5.0
88,50,10
89,50,10
90,50.0,2.5
91,50,2
92,50,2
93,50,5
94,50,5
95,50,5
96,50.0,2.0
97,50,2
98,50,5
99,50.0,2.5
100,50,2
