,mean,std
1,7.5,1.2
2,8.0,1.5
3,8.0,1.5
4,7.5,1.2
5,7.5,1.2
6,7.5,1.2
7,8.0,1.5
8,7.5,1.2
9,7.5,1.2
10,8.0,1.5
11,7.5,1.2
12,8.0,1.5
13,8.0,1.5
14,7.5,1.2
15,7.5,1.2
16,7.5,1.2
17,8.0,1.5
18,8.0,1.5
19,7.2,0.5
20,7.5,1.2
21,7.5,1.2
22,8.5,1.2
23,7.5,1.2
24,8.2,1.5
25,7.5,1.2
26,8.0,1.5
27,8.0,1.5
28,8.5,1.2
29,7.5,1.2
30,8.2,1.5
31,7.5,1.2
32,7.8,1.2
33,7.5,1.2
34,7.5,1.2
35,7.5,1.2
36,7.5,1.2
37,8.0,1.5
38,7.5,1.2
39,7.5,1.2
40,8.0,1.2
41,8.5,1.2
42,7.5,1.2
43,7.5,1.2
44,7.5,1.2
45,7.5,1.2
46,7.5,1.2
47,7.5,1.2
48,7.5,1.2
49,7.0,1.5
50,8.0,1.5
51,7.5,1.2
52,7.5,1.2
53,7.5,1.2
54,7.5,1.2
55,7.5,1.2
56,6.5,1.2
57,7.5,1.2
58,8.0,1.5
59,7.5,1.2
60,7.5,1.2
61,7.5,1.2
62,8.0,1.5
63,7.5,1.2
64,7.0,1.5
65,7.2,1.5
66,7.5,1.2
67,7.5,1.2
68,7.5,1.2
69,8.0,1.5
70,8.0,1.5
71,7.5,1.2
72,7.5,1.2
73,7.5,1.2
74,7.5,1.2
75,8.0,1.5
76,7.5,1.2
77,8.0,1.5
78,7.5,1.2
79,7.5,0.8
80,7.8,0.9
81,8.0,1.5
82,7.5,1.2
83,8.0,1.5
84,8.0,1.5
85,7.5,1.2
86,7.5,1.2
87,8.5,1.2
88,7.5,1.2
89,7.5,1.2
90,7.5,1.2
91,7.5,1.2
92,8.0,1.5
93,8.0,1.5
94,7.5,1.2
95,7.5,1.2
96,8.0,1.5
97,7.5,1.2
98,8.0,1.5
99,7.5,1.2
100,7.5,1.2
