,mean,std
1,5.0,1.5
2,3.5,1.2
3,5.5,1.2
4,5.0,1.5
5,5.5,1.2
6,5.0,1.2
7,5.2,1.4
8,2.5,0.8
9,5.2,1.3
10,5.0,1.5
11,5.5,1.2
12,5.5,1.2
13,5.2,1.3
14,5.0,1.2
15,5.0,1.2
16,5.5,1.2
17,2.5,0.8
18,5.0,1.5
19,5.4,2.1
20,5.0,1.5
21,5.2,1.3
22,5.2,1.3
23,5.0,1.5
24,5.5,1.2
25,5.2,1.3
26,5.0,1.5
27,5.2,1.1
28,5.0,1.5
29,5.2,1.4
30,5.0,1.2
31,5.5,1.2
32,5.0,1.5
33,5.2,1.3
34,3.5,1.2
35,5.5,1.2
36,5.2,1.4
37,5.0,1.5
38,5.0,1.5
39,5.0,1.2
40,5.2,1.8
41,5.5,1.2
42,5.5,1.2
43,5.2,1.4
44,5.0,1.2
45,5.2,1.5
46,5.0,1.2
47,5.0,1.2
48,3.5,1.2
49,5.2,1.8
50,5.5,1.2
51,3.5,1.2
52,5.0,2.0
53,5.0,1.5
54,5.2,1.8
55,3.5,1.2
56,5.2,1.3
57,5.0,1.2
58,5.2,1.3
59,5.2,1.4
60,5.0,1.5
61,3.7,1.2
62,5.2,1.5
63,5.0,1.5
64,5.2,1.3
65,5.0,1.5
66,5.0,1.5
67,5.2,1.3
68,5.2,1.8
69,5.2,1.1
70,5.0,1.5
71,5.2,1.3
72,5.0,1.5
73,5.0,1.5
74,5.0,1.2
75,5.5,1.2
76,5.2,1.3
77,5.0,1.2
78,3.5,1.2
79,5.0,1.5
80,5.2,1.3
81,5.2,1.1
82,5.2,1.1
83,5.0,1.2
84,5.0,1.5
85,5.2,1.7
86,5.0,1.2
87,5.0,1.5
88,5.2,1.3
89,5.2,1.3
90,5.2,1.3
91,5.0,2.0
92,3.5,0.8
93,5.0,1.5
94,5.0,1.2
95,5.6,1.3
96,3.5,1.2
97,3.5,1.2
98,5.0,1.5
99,5.0,2.0
100,5.0,1.5
