,mean,std
1,20.0,5.0
2,20.0,5.0
3,10.0,1.5
4,20.5,3.2
5,20.5,4.2
6,100.0,15.0
7,100.0,15.0
8,10.0,1.5
9,10.0,2.0
10,20.0,3.5
11,20.0,5.0
12,20.0,5.0
13,8.5,1.2
14,12.5,1.8
15,20.0,5.0
16,20.0,5.0
17,20.0,5.0
18,100.0,15.0
19,5.5,1.2
20,20.0,5.0
21,20.0,5.0
22,20.0,5.0
23,20.0,5.0
24,100.0,15.0
25,10.5,2.3
26,20.5,3.2
27,5.0,1.2
28,20.0,5.0
29,100.0,15.0
30,120.0,15.0
31,24.5,4.2
32,20.5,3.2
33,15.5,1.2
34,200.0,15.0
35,10.0,1.5
36,20.0,5.0
37,20.5,3.2
38,20.0,4.5
39,20.0,5.0
40,300.0,15.0
41,10.0,2.0
42,20.0,4.0
43,50.0,5.0
44,10.5,2.3
45,50.0,5.0
46,20.0,5.0
47,20.0,5.0
48,20.5,3.2
49,100.0,15.0
50,20.0,5.0
51,20.0,5.0
52,20.5,3.2
53,10.0,2.5
54,10.0,1.5
55,8.5,1.2
56,20.0,5.0
57,500.0,50.0
58,100.0,15.0
59,20.0,3.0
60,100.0,15.0
61,20.0,5.0
62,50.0,10.0
63,5.5,1.2
64,5.2,1.3
65,20.0,5.0
66,10.5,2.3
67,20.0,5.0
68,10.0,2.0
69,10.0,2.0
70,5.5,1.2
71,20.5,4.2
72,20.0,4.0
73,10.5,2.3
74,20.5,3.2
75,20.0,5.0
76,20.0,5.0
77,24.5,3.7
78,20.0,5.0
79,20.0,5.0
80,20.0,4.0
81,20.0,5.0
82,20.0,5.0
83,200.0,15.0
84,20.0,5.0
85,150.0,15.0
86,20.0,5.0
87,20.0,5.0
88,20.0,5.0
89,20.0,5.0
90,20.0,4.5
91,10.0,2.0
92,500.0,50.0
93,20.5,3.7
94,20.0,5.0
95,8.5,1.2
96,24.0,5.0
97,200.0,15.0
98,20.0,5.0
99,15.5,3.2
100,20.0,2.5
