,mean,std
1,12.5,1.2
2,12.5,1.8
3,12.5,1.2
4,12.5,1.8
5,12.5,1.8
6,12.5,1.8
7,12.6,1.8
8,14.6,2.3
9,12.5,1.8
10,12.5,1.8
11,12.5,2.8
12,12.5,1.8
13,12.5,1.8
14,14.2,0.5
15,12.5,1.8
16,12.5,1.8
17,12.5,1.8
18,12.5,1.8
19,12.5,2.1
20,14.5,2.3
21,12.5,1.8
22,12.5,1.8
23,12.5,1.8
24,12.5,1.8
25,10.5,1.2
26,12.3,1.8
27,12.5,1.8
28,12.5,1.8
29,12.5,1.8
30,12.5,1.2
31,13.5,0.4
32,12.5,1.2
33,12.5,1.8
34,12.5,1.8
35,12.5,1.8
36,12.5,1.8
37,12.5,1.8
38,12.5,2.3
39,12.5,2.0
40,12.5,1.8
41,12.5,1.8
42,12.5,1.8
43,12.5,1.8
44,14.5,2.2
45,12.5,2.3
46,12.5,2.3
47,12.5,1.5
48,12.5,1.8
49,12.8,1.3
50,12.5,1.8
51,12.5,1.8
52,12.5,2.3
53,12.5,1.8
54,12.5,1.8
55,12.5,1.8
56,14.2,0.5
57,12.5,1.2
58,12.5,1.8
59,12.5,1.8
60,12.5,2.3
61,12.5,1.8
62,12.5,1.8
63,12.5,1.8
64,13.5,2.2
65,12.5,2.2
66,12.5,1.8
67,13.5,1.2
68,12.5,1.8
69,12.5,1.8
70,12.5,1.8
71,12.5,1.8
72,12.3,1.5
73,12.5,1.8
74,12.5,2.3
75,12.5,1.8
76,12.5,1.8
77,12.5,1.8
78,12.5,1.8
79,12.5,1.8
80,12.5,1.8
81,12.5,1.8
82,12.5,1.8
83,12.5,1.8
84,12.5,1.8
85,12.5,1.8
86,12.5,1.8
87,12.5,1.8
88,12.5,1.8
89,12.5,1.8
90,12.5,1.8
91,12.5,1.2
92,12.5,1.6
93,14.6,1.3
94,12.5,1.8
95,12.5,1.8
96,12.5,1.2
97,12.5,1.8
98,12.5,1.8
99,12.5,0.8
100,12.5,1.8
