,mean,std
1,15.3,2.1
2,7.5,1.3
3,12.5,1.8
4,8.5,1.2
5,12.5,2.3
6,10.5,1.2
7,12.5,2.3
8,10.0,2.0
9,5.2,1.1
10,12.5,2.4
11,12.5,2.3
12,12.5,2.3
13,12.5,2.3
14,10.5,2.3
15,12.5,2.3
16,5.5,1.2
17,6.5,1.2
18,12.5,3.2
19,10.5,2.3
20,12.5,2.3
21,15.5,2.3
22,12.5,3.2
23,10.5,2.3
24,15.5,2.3
25,10.0,1.5
26,10.5,2.3
27,12.5,2.3
28,10.5,2.3
29,12.5,3.2
30,12.5,3.2
31,10.5,2.3
32,12.5,3.2
33,15.2,2.5
34,12.5,1.8
35,5.2,0.6
36,12.7,1.5
37,12.5,3.2
38,15.5,2.3
39,10.5,2.3
40,12.5,3.2
41,5.4,1.3
42,10.5,1.8
43,10.5,2.3
44,10.5,2.3
45,5.5,1.2
46,12.5,2.3
47,7.5,1.2
48,12.5,2.3
49,12.5,2.3
50,5.2,1.3
51,12.5,3.2
52,5.2,0.8
53,10.5,2.3
54,12.7,1.5
55,12.5,2.3
56,10.5,2.3
57,12.5,3.2
58,10.5,2.3
59,12.5,2.3
60,5.2,1.3
61,12.5,1.8
62,12.5,2.3
63,12.5,2.3
64,5.7,1.2
65,12.5,2.3
66,5.2,1.3
67,5.5,1.2
68,12.5,2.3
69,15.6,1.2
70,7.5,1.2
71,12.5,3.2
72,10.2,2.5
73,8.5,1.3
74,15.7,2.4
75,12.5,3.2
76,12.5,3.2
77,12.5,2.3
78,10.5,2.3
79,10.5,3.2
80,12.5,2.3
81,10.5,2.3
82,5.7,1.2
83,12.5,2.3
84,12.5,2.8
85,12.5,3.2
86,12.5,2.3
87,12.5,1.8
88,10.0,2.0
89,12.5,2.3
90,12.5,3.2
91,5.2,1.5
92,10.5,1.8
93,12.5,2.7
94,10.5,2.3
95,12.5,3.2
96,5.6,0.8
97,12.5,2.3
98,12.5,2.3
99,12.5,2.3
100,15.2,2.5
