,mean,std
1,5.0,1.5
2,5.5,1.8
3,5.0,1.5
4,5.5,1.2
5,5.0,1.5
6,5.2,1.3
7,5.0,1.5
8,5.5,1.2
9,4.5,1.2
10,5.0,1.5
11,5.0,1.5
12,5.5,1.2
13,5.5,1.2
14,5.5,1.2
15,3.5,1.2
16,5.5,1.2
17,5.5,1.2
18,3.5,1.2
19,5.5,1.4
20,5.5,1.2
21,5.5,1.2
22,5.5,1.8
23,5.2,1.3
24,3.5,1.2
25,4.5,1.2
26,5.5,1.2
27,5.0,1.5
28,5.2,1.5
29,2.5,0.8
30,3.5,1.2
31,5.2,1.65
32,2.5,0.7
33,5.5,1.2
34,5.5,1.2
35,5.2,1.5
36,5.2,1.5
37,5.0,1.5
38,5.0,1.5
39,5.5,1.2
40,5.0,1.5
41,5.0,1.5
42,5.2,1.75
43,5.0,1.5
44,5.5,1.2
45,3.5,0.8
46,5.5,1.2
47,2.5,0.5
48,5.5,1.2
49,5.5,1.2
50,2.5,0.5
51,5.5,1.2
52,3.5,1.2
53,5.5,1.2
54,5.0,1.5
55,5.5,1.8
56,5.5,1.2
57,5.0,1.2
58,5.2,1.7
59,3.5,0.8
60,5.0,1.5
61,5.2,1.8
62,5.0,1.5
63,5.0,1.5
64,3.5,1.2
65,5.0,1.5
66,5.5,1.2
67,5.2,1.4
68,5.2,1.8
69,5.5,1.2
70,3.0,1.5
71,5.5,1.2
72,5.5,1.2
73,5.0,1.5
74,5.5,1.2
75,5.0,1.5
76,5.5,1.2
77,5.5,1.2
78,5.0,1.5
79,3.5,1.2
80,5.5,1.2
81,5.0,1.5
82,5.5,1.2
83,5.5,1.2
84,5.5,1.8
85,3.5,1.2
86,6.5,1.8
87,5.5,1.2
88,5.0,1.5
89,5.5,2.0
90,5.5,1.2
91,5.0,1.5
92,5.5,1.2
93,5.3,1.2
94,5.5,1.2
95,5.5,1.2
96,3.5,1.2
97,5.0,1.5
98,5.0,1.5
99,5.5,1.2
100,5.0,1.5
