,mean,std
1,75.0,10.0
2,5.0,1.5
3,80.0,10.0
4,5.5,1.2
5,5.2,1.3
6,5.2,1.3
7,5.2,1.3
8,5.2,1.3
9,68.5,3.2
10,75.0,10.0
11,5.0,1.5
12,5.0,1.5
13,5.0,1.5
14,5.5,1.2
15,7.5,1.2
16,5.8,1.6
17,5.5,1.2
18,75.0,10.0
19,5.0,1.5
20,5.5,1.2
21,5.5,1.2
22,5.3,1.8
23,5.0,1.5
24,80.0,10.0
25,7.5,1.2
26,7.0,1.5
27,75.0,10.0
28,72.0,15.0
29,85.0,10.0
30,75.0,10.0
31,75.0,10.5
32,75.0,10.0
33,5.0,1.5
34,5.2,1.7
35,84.0,6.0
36,5.5,1.8
37,5.5,1.2
38,7.5,2.1
39,5.0,1.2
40,80.0,10.0
41,5.2,1.1
42,5.8,1.2
43,5.5,1.2
44,80.0,10.0
45,5.5,1.2
46,78.0,6.5
47,75.0,10.0
48,5.0,1.2
49,5.8,1.2
50,6.5,1.8
51,5.5,1.2
52,5.0,1.5
53,3.5,0.8
54,5.2,1.3
55,5.5,1.2
56,75.0,10.0
57,7.5,1.2
58,5.2,1.3
59,80.0,10.0
60,5.2,1.3
61,5.5,1.2
62,5.2,1.3
63,5.5,1.2
64,5.2,1.3
65,50.0,10.0
66,75.0,10.0
67,75.0,10.0
68,70.0,10.0
69,7.5,1.8
70,50.0,10.0
71,5.5,1.2
72,5.5,1.2
73,5.6,1.2
74,5.5,1.2
75,5.5,1.2
76,5.5,1.2
77,7.5,1.2
78,5.5,1.2
79,5.5,1.2
80,75.0,10.0
81,7.5,1.3
82,5.5,1.2
83,50.0,10.0
84,5.5,1.3
85,75.0,10.0
86,75.0,10.0
87,5.5,1.2
88,5.2,1.3
89,75.0,10.0
90,5.5,1.2
91,7.5,1.3
92,5.5,1.6
93,75.0,10.0
94,5.7,1.2
95,78.5,10.3
96,5.5,1.2
97,5.5,1.2
98,75.0,10.0
99,75.0,10.0
100,5.5,1.2
