,mean,std
1,65.0,15.0
2,75.0,10.0
3,65,10
4,75,10
5,70,10
6,70,10
7,75,10
8,70,10
9,70,10
10,65.0,10.2
11,70,10
12,65,10
13,70,10
14,70,10
15,65,10
16,50,10
17,70,10
18,65,10
19,70,10
20,70,10
21,65,10
22,65,10
23,70.5,10.2
24,70,10
25,75,10
26,65.0,10.0
27,70,10
28,70,10
29,65,10
30,50,10
31,65,10
32,75,10
33,65.0,10.0
34,50,10
35,65.0,10.5
36,60,10
37,70.0,10.0
38,70,10
39,70.0,10.0
40,75,10
41,70,10
42,60,10
43,70,10
44,65.0,10.0
45,70,10
46,65.0,10.0
47,70.0,15.0
48,60,10
49,70,15
50,65,10
51,70,15
52,60,10
53,70,10
54,65,10
55,70,15
56,50,10
57,65.0,10.0
58,75,10
59,65,10
60,60,15
61,70,10
62,75,10
63,75,10
64,70,10
65,75,10
66,50,10
67,65.0,8.5
68,65,10
69,70,15
70,70,10
71,75,10
72,65,10
73,70,15
74,70,10
75,65,10
76,70,10
77,70,10
78,75,10
79,50,10
80,65.0,10.0
81,75,10
82,50,10
83,70,10
84,70,10
85,70,10
86,70,5
87,70.0,15.0
88,70.0,15.0
89,55.0,10.0
90,60,10
91,65.0,10.0
92,70,10
93,65,10
94,70,10
95,75,10
96,70,10
97,60,10
98,70,10
99,65.0,10.0
100,65,10
