,mean,std
1,85.0,10.0
2,50.0,5.0
3,50.0,10.0
4,85.0,10.5
5,50.0,10.0
6,50.0,5.0
7,50.0,5.0
8,50.0,5.0
9,85.5,10.2
10,50.0,10.0
11,50.0,5.0
12,50.5,4.2
13,85.0,10.0
14,85.0,10.5
15,85.5,10.2
16,50.0,5.0
17,50.0,5.0
18,50.0,5.0
19,50.0,5.0
20,50.0,5.0
21,50.0,5.0
22,85.0,10.0
23,50.0,5.0
24,90.5,4.2
25,50.0,5.0
26,50.0,5.0
27,50.0,10.0
28,50.0,5.0
29,50.0,10.0
30,50.0,10.0
31,85.0,10.5
32,50.0,5.0
33,50.0,5.0
34,50.0,10.0
35,50.0,5.0
36,50.0,5.0
37,50.0,10.0
38,5.2,1.3
39,50.0,5.0
40,5.6,1.2
41,50.0,5.0
42,50.0,5.0
43,8.5,2.3
44,50.0,10.0
45,50.0,5.0
46,50.0,5.0
47,50.5,4.2
48,50.5,4.2
49,50.0,10.0
50,50.0,5.0
51,50.0,10.0
52,50.0,5.0
53,50.5,10.3
54,95.2,10.5
55,50.0,10.0
56,50.0,5.0
57,50.0,10.0
58,50.5,4.2
59,85.0,10.0
60,75.5,8.2
61,50.0,5.0
62,50.0,5.0
63,50.0,5.0
64,50.0,5.0
65,50.0,5.0
66,50.0,10.0
67,85.4,5.3
68,50.0,5.0
69,50.0,5.0
70,50.0,5.0
71,50.0,5.0
72,50.0,5.0
73,50.0,5.0
74,50.0,5.0
75,50.0,10.0
76,50.0,5.0
77,50.0,5.0
78,50.0,10.0
79,50.0,5.0
80,50.0,10.0
81,50.0,10.0
82,8.5,1.2
83,50.0,5.0
84,50.0,5.0
85,50.0,5.0
86,85.0,10.0
87,50.0,5.0
88,50.4,4.2
89,85.0,10.0
90,50.0,5.0
91,85.3,4.6
92,50.0,5.0
93,50.0,5.5
94,50.0,5.0
95,50.0,5.0
96,50.0,10.0
97,50.0,5.0
98,8.5,1.2
99,50.0,5.0
100,50.0,5.0
