,mean,std
1,75.0,10.0
2,72.0,4.5
3,75.0,10.0
4,70.0,12.0
5,72.5,5.3
6,75.0,4.5
7,75.0,10.0
8,78.5,10.2
9,78.5,9.2
10,50.0,10.0
11,75.0,9.5
12,75.3,9.5
13,75.0,10.0
14,75.0,10.0
15,50.0,10.0
16,75.0,10.0
17,75.0,10.0
18,75.3,9.5
19,75.0,10.5
20,75.0,10.0
21,75.0,10.0
22,75.0,10.0
23,7.5,1.2
24,75.0,8.0
25,5.5,1.2
26,75.4,8.6
27,72.5,4.6
28,50.0,10.0
29,75.5,10.2
30,70.0,10.0
31,70.0,10.0
32,75.0,10.0
33,85.0,10.0
34,50.0,10.0
35,50.0,10.0
36,75.3,6.8
37,50.0,10.0
38,70.0,8.0
39,75.0,10.5
40,75.0,10.0
41,85.0,10.0
42,75.0,10.0
43,50.0,10.0
44,75.0,10.2
45,70.0,10.0
46,78.5,3.6
47,75.0,10.5
48,85.0,10.0
49,50.0,10.0
50,75.5,8.3
51,70.5,9.8
52,50.7,4.5
53,85.0,10.0
54,72.5,8.4
55,75.0,10.0
56,75.0,10.0
57,73.5,8.2
58,75.0,10.5
59,85.0,9.5
60,5.2,1.3
61,50.0,10.0
62,5.2,1.3
63,70.0,15.0
64,75.0,9.5
65,78.5,4.2
66,75.0,10.0
67,75.6,4.2
68,70.0,15.0
69,75.2,9.4
70,75.0,10.0
71,75.5,9.2
72,80.0,10.0
73,78.5,9.3
74,85.0,9.5
75,6.2,1.8
76,75.2,8.5
77,70.0,10.0
78,50.0,10.0
79,75.0,10.2
80,8.5,1.2
81,75.0,10.0
82,78.5,6.3
83,50.0,10.0
84,75.0,10.0
85,75.0,10.0
86,75.0,5.0
87,75.0,10.0
88,72.5,4.8
89,70.0,10.0
90,85.0,10.0
91,70.5,9.2
92,75.0,10.5
93,75.0,10.0
94,50.0,10.0
95,75.0,10.0
96,85.0,10.0
97,50.0,10.0
98,85.0,9.5
99,83.5,10.2
100,75.5,9.2
