,mean,std
1,120.0,15.0
2,50,5
3,100,15
4,120,5
5,100,5
6,50,5
7,100,5
8,50,5
9,50,5
10,50,5
11,50,5
12,50,5
13,100,5
14,50,5
15,100,5
16,50,5
17,100,15
18,100,5
19,50.0,5.0
20,50.0,5.0
21,50,5
22,50.0,5.0
23,120,8
24,50,5
25,50,5
26,50,5
27,50,5
28,50,5
29,50,5
30,50,5
31,50,5
32,50,3
33,50,5
34,50,5
35,100,5
36,50,5
37,100,15
38,120,5
39,120,15
40,120,15
41,50,5
42,50,5
43,120.0,15.0
44,150,15
45,100,5
46,50,2.5
47,120,5
48,50,5
49,50,5
50,100,15
51,50.0,1.5
52,50,5
53,50,5
54,120,15
55,50,5
56,50,5
57,100,5
58,50,5
59,50,5
60,100,5
61,50.0,2.5
62,50,5
63,100,5
64,120,5
65,50,5
66,50,5
67,100,5
68,50,5
69,50,2
70,50.0,4.5
71,50.0,5.0
72,50,5
73,100,15
74,120,15
75,50,5
76,50.0,5.0
77,50,5
78,50,5
79,100,5
80,50,5
81,120.5,3.2
82,50,5
83,50,5
84,120,15
85,50,5
86,120,15
87,50,5
88,120,10
89,120,15
90,120,5
91,50,5
92,100,5
93,100,5
94,100,15
95,50,5
96,50,5
97,150,15
98,100,5
99,50,2
100,120,5
