,mean,std
1,68.5,4.2
2,100.5,15.3
3,50.0,10.0
4,50.0,10.0
5,50.5,4.2
6,50.7,4.5
7,50.5,2.8
8,50.0,10.0
9,50.0,5.0
10,75.0,10.0
11,50.5,4.2
12,50.0,10.0
13,50.0,10.0
14,50.0,5.0
15,100.0,15.0
16,50.0,10.0
17,50.5,4.2
18,50.0,5.0
19,50.0,5.0
20,50.0,10.0
21,100.0,15.0
22,100.0,15.0
23,100.0,15.0
24,50.0,10.0
25,100.5,15.8
26,100.0,15.0
27,100.0,15.0
28,100.0,15.0
29,50.0,10.0
30,100.0,15.0
31,50.0,5.0
32,50.0,10.0
33,50.0,4.5
34,50.0,4.5
35,50.0,5.0
36,100.0,15.0
37,50.0,5.0
38,100.0,15.0
39,100.0,15.0
40,50.0,10.0
41,50.0,5.0
42,100.0,15.0
43,50.0,10.0
44,50.0,10.0
45,50.0,10.0
46,100.0,15.0
47,50.0,5.0
48,100.0,15.0
49,100.0,15.0
50,100.0,15.0
51,90.5,3.2
52,100.0,15.0
53,50.5,4.2
54,100.0,15.0
55,100.5,15.2
56,50.0,10.0
57,50.0,5.0
58,50.5,4.3
59,50.0,5.0
60,50.0,10.0
61,100.0,15.0
62,50.0,5.0
63,50.0,5.0
64,50.0,10.0
65,100.0,15.0
66,50.0,10.0
67,100.0,15.0
68,100.0,15.0
69,50.0,5.0
70,50.0,10.0
71,50.0,10.0
72,100.0,15.0
73,80.5,10.2
74,50.0,10.0
75,50.0,4.5
76,50.0,5.0
77,100.0,15.0
78,100.0,15.0
79,100.5,15.3
80,100.0,15.0
81,50.0,5.0
82,50.0,5.0
83,100.0,15.0
84,50.0,5.0
85,50.0,4.5
86,100.0,15.0
87,100.0,15.0
88,50.0,10.0
89,50.0,5.0
90,50.0,10.0
91,50.0,5.0
92,50.0,5.0
93,50.5,4.2
94,100.0,15.0
95,100.0,15.0
96,50.0,10.0
97,50.0,5.0
98,50.0,5.0
99,100.0,15.0
100,50.0,10.0
