,mean,std
1,3.5,1.2
2,2.5,1.2
3,3.0,1.5
4,2.5,0.7
5,3.5,1.2
6,2.5,0.8
7,2.5,0.8
8,3.2,0.5
9,3.5,1.2
10,2.5,0.8
11,3.2,1.5
12,5.2,1.6
13,2.5,0.8
14,5.0,1.5
15,2.5,0.7
16,3.2,1.5
17,2.5,0.7
18,2.5,0.8
19,2.5,0.8
20,5.0,2.0
21,5.0,2.0
22,2.0,0.5
23,2.0,0.5
24,2.5,0.8
25,2.0,0.5
26,2.5,0.7
27,5.2,1.3
28,2.0,0.5
29,2.5,0.8
30,3.5,1.2
31,2.5,0.7
32,2.0,0.5
33,2.5,0.8
34,3.5,1.2
35,2.5,0.8
36,2.5,0.8
37,5.2,1.8
38,3.5,1.2
39,2.5,0.8
40,2.5,0.8
41,5.0,2.0
42,5.2,1.7
43,2.5,0.7
44,2.0,0.5
45,5.2,1.8
46,2.5,0.7
47,2.5,1.2
48,5.5,1.8
49,2.5,0.8
50,2.5,0.7
51,3.5,1.2
52,5.2,1.8
53,2.5,0.7
54,2.5,0.8
55,5.2,1.8
56,5.2,1.6
57,2.5,0.7
58,2.5,0.7
59,2.5,0.5
60,2.5,0.8
61,2.5,0.7
62,2.5,0.7
63,2.5,0.8
64,2.5,0.8
65,3.2,0.5
66,5.4,1.2
67,3.5,1.2
68,3.2,1.5
69,5.2,1.8
70,2.5,0.7
71,2.5,0.7
72,2.5,0.7
73,2.5,0.7
74,5.2,1.7
75,5.2,1.8
76,5.2,2.3
77,2.5,0.8
78,2.5,0.8
79,2.5,0.7
80,2.5,0.5
81,2.5,0.8
82,2.5,0.7
83,2.5,0.8
84,3.5,1.2
85,2.5,0.7
86,2.5,0.8
87,5.2,1.7
88,2.5,0.8
89,2.5,0.8
90,2.5,0.8
91,5.2,1.8
92,2.5,0.8
93,2.0,0.5
94,2.0,0.5
95,2.5,0.7
96,3.8,1.2
97,5.2,1.8
98,2.5,0.5
99,2.5,0.8
100,2.5,0.8
