,mean,std
1,50.0,10.0
2,50.0,10.0
3,50.0,10.0
4,150.0,20.0
5,50.0,10.0
6,50.0,10.0
7,80.0,12.0
8,150.0,20.0
9,150.0,30.0
10,50.0,10.0
11,150.0,30.0
12,20.0,4.0
13,50.0,10.0
14,50.0,10.0
15,50.5,10.2
16,120.0,15.0
17,150.0,30.0
18,50.0,10.0
19,55.2,10.5
20,50.0,10.0
21,50.0,15.0
22,150.0,30.0
23,50.0,15.0
24,150.0,30.0
25,50.0,15.0
26,50.0,10.0
27,150.0,20.0
28,150.0,20.0
29,50.0,10.0
30,70.0,15.0
31,50.0,10.0
32,60.5,15.2
33,200.0,50.0
34,150.0,20.0
35,150.0,25.0
36,50.0,10.0
37,50.0,10.0
38,50.0,10.0
39,150.0,20.0
40,50.0,10.0
41,120.5,15.3
42,80.0,15.0
43,50.0,12.5
44,150.0,30.0
45,50.0,10.0
46,150.0,20.0
47,120.0,15.0
48,120.5,15.3
49,50.0,10.0
50,150.0,40.0
51,60.0,15.0
52,80.0,15.0
53,50.0,10.0
54,50.0,10.0
55,50.0,5.0
56,50.0,12.5
57,150.0,30.0
58,120.0,15.0
59,50.0,10.0
60,120.0,15.0
61,150.0,20.0
62,150.0,25.0
63,120.0,15.0
64,100.0,15.0
65,150.0,20.0
66,120.0,15.0
67,120.0,15.0
68,120.0,15.0
69,120.0,15.0
70,20.5,4.2
71,150.0,20.0
72,50.0,10.0
73,150.0,20.0
74,50.0,10.0
75,50.0,15.0
76,50.0,10.0
77,50.0,12.5
78,50.0,5.0
79,50.0,10.0
80,50.0,10.0
81,50.0,15.0
82,50.0,10.0
83,150.0,30.0
84,120.0,15.0
85,150.0,30.0
86,150.0,30.0
87,150.0,40.0
88,100.0,15.0
89,250.0,50.0
90,50.0,10.0
91,50.0,10.0
92,150.0,20.0
93,150.0,30.0
94,50.0,10.0
95,50.0,10.0
96,40.0,5.0
97,120.0,15.0
98,50.0,10.0
99,50.0,10.0
100,50.0,10.0
