,mean,std
1,20.5,1.75
2,22.5,4.3
3,50.0,5.0
4,50.0,5.0
5,30.0,4.5
6,50.0,5.2
7,20.5,1.8
8,50.0,5.0
9,40.0,5.0
10,25.6,3.4
11,20.5,1.8
12,50.0,5.0
13,20.0,1.5
14,20.5,1.5
15,22.5,1.8
16,22.5,3.2
17,20.0,1.5
18,24.5,3.2
19,22.5,2.8
20,20.0,1.5
21,32.5,4.2
22,20.0,2.5
23,20.5,3.2
24,50.0,8.0
25,10.0,1.5
26,20.0,2.0
27,34.2,1.5
28,30.5,4.2
29,20.0,5.0
30,30.2,4.5
31,15.0,1.2
32,35.7,2.5
33,20.0,1.5
34,20.0,3.0
35,20.0,1.5
36,24.5,3.7
37,20.5,1.8
38,22.5,1.8
39,24.5,1.8
40,20.0,2.5
41,20.5,1.8
42,20.5,1.2
43,35.0,5.0
44,30.0,5.0
45,32.5,4.2
46,28.5,4.2
47,30.5,4.2
48,10.5,1.2
49,50.0,5.0
50,20.0,1.5
51,24.5,3.2
52,45.0,3.5
53,25.0,4.0
54,20.5,2.3
55,24.5,3.2
56,30.0,5.0
57,50.0,10.0
58,22.5,3.2
59,20.5,1.2
60,50.0,5.0
61,50.0,5.0
62,25.0,4.5
63,20.5,2.3
64,20.5,1.8
65,20.5,1.8
66,20.0,2.5
67,40.5,2.3
68,45.0,12.0
69,20.5,1.2
70,20.5,2.3
71,20.0,5.0
72,40.0,5.0
73,50.0,5.0
74,22.5,2.3
75,12.5,1.8
76,25.0,5.0
77,30.5,5.2
78,20.5,2.3
79,50.5,5.2
80,30.0,5.0
81,15.5,1.2
82,50.2,10.5
83,22.5,1.8
84,22.5,1.75
85,18.5,1.2
86,22.5,3.2
87,24.5,4.2
88,20.5,1.7
89,25.5,3.2
90,12.5,1.8
91,50.0,5.0
92,50.0,5.0
93,22.5,3.2
94,50.0,5.0
95,15.5,1.2
96,12.5,1.8
97,12.5,1.8
98,22.5,3.2
99,22.5,3.2
100,20.5,1.2
